id	target	sty0	sty1	exy0	exy1	snippet
6381	1	0.675606242181	0.324393757819	0.845713702579	0.154286297421	I haven't even explained the plot!
12312	1	0.450730005716	0.549269994284	0.030224012098	0.969775987902	<br /><br />Great tale, and great fun throughout.
16872	0	0.689771953748	0.310228046252	0.267228234757	0.732771765243	3/10
12101	1	0.456667261274	0.543332738726	0.291142315491	0.708857684509	It's certainly not as surreal as some of Miike's most recent films, but this is expected as he's trying out things that he's just starting to learn, following a track record of straight to video programmers.
17515	0	0.481406587679	0.518593412321	0.841551899461	0.158448100539	I felt that the director was screaming for attention and the only way he could achieve this was to be as repulsive as possible.
19918	1	0.438964504192	0.561035495808	0.322688235933	0.677311764067	It's just as good a Super Mario World or so.
12280	1	0.314865238287	0.685134761713	0.110051589714	0.889948410286	Mitchum is his usual excellent self here in Man With The Gun - not one of his very best performances, Mitchum still has his classic and effective tough-guy screen presence in high gear and he knocks the action-packed, meaningful, and shocking scenes of the film right out of the park.
5016	1	0.507437988677	0.492562011323	0.13534143644	0.86465856356	this will be sure to keep you glued to the screen.
19045	0	0.646864469412	0.353135530588	0.932308819442	0.0676911805576	He used to beat up poor Juhi for no good reason!
15706	1	0.384675525573	0.615324474427	0.334584513298	0.665415486702	Freddy Krueger the dream stalker from elm street returns,the great character actor Robert englund is back in this sequel of nightmare 5, dream child.i hope i got the number correctly.there's been so many,and this one is one of the best,especially for the cameos by;Rosanne Barr (then Arnold)tom Arnold,johnny depp,(who did the very first nightmare in 84)alice cooper(singer)you will see Freddy as a tormented child,a teenager who loves pain,and as a family guy(creepy)the effects are very funny and creative,the cast also includes Lisa Zane(Billy's sister) breckin Meyer(road trip)yaphet kotto(alien,live and let die)and Amanda Donahue(father knows best)i was one of the people 3who saw this in 3d,well the ending.i love 3d movies.i missed the first 3d wave in 1953(i wasn't even born yet)the second wave was in 1983.i like all the Freddy movies.this one stands out as one of the better ones not counting the first which was absolutely brilliant,Freddy became the new monster of the 80s and 90s,along with Jason voorhees,chucky,Micheal myers,and leather face.can you imagine a film with all of them?i recommend this to all Freddy fans and horror fans alike.that Freddy is such a cut up.8 out of 10.
24968	1	0.410816779346	0.589183220654	0.123779470309	0.876220529691	Whether or not he does it will be at a terrible price, and the great irony of the film is that the ultimate form of an 'escape' may not be one a man might imagine.<br /><br />With all its budget limitations it is greatly to the first-time feature director Eric Vallette's credit that his film succeeds as well as it does.
13495	0	0.703103671616	0.296896328384	0.691013613767	0.308986386233	The heroine is actually shaved in the pubic area in order to make her look even younger than she is.
9682	0	0.376145159746	0.623854840254	0.436361331947	0.563638668053	It's been nearly 30 years, and I STILL hate everyone involved in this movie.
2601	1	0.509578227377	0.490421772623	0.457112878123	0.542887121877	The old fashion outfits are weird when you see them in modern times, but she looks good on them.
652	1	0.308588840637	0.691411159363	0.0267022088587	0.973297791141	Gerard's wish to honor his family and medium of film that he has loved all of his life.<br /><br />This is the true story of Juan Gerard and all the people in it are real,as are the events depicted.
18098	0	0.358746364048	0.641253635952	0.306724684087	0.693275315913	It is so forgettable that they will probably find it equally enjoyable if watched again in a year's time; despite its age it may therefore retain its status as a cult movie for some time to come.
1860	1	0.469374394199	0.530625605801	0.259098536941	0.740901463059	When his heart and soul is in the subject matter--and clearly it is here--his genius is fraught with a pure vision that doesn't glamorize, hype, or sentimentalize his subject.
