id	target	sty0	sty1	exy0	exy1	snippet
6381	1	0.734204359511	0.265795640489	0.845713702579	0.154286297421	I haven't even explained the plot!
12312	1	0.501675030139	0.498324969861	0.0878085617372	0.912191438263	Passport to Pimlico is a real treat for all fans of British cinema.
16872	0	0.589174818999	0.410825181001	0.267228234757	0.732771765243	3/10
12101	1	0.713561254715	0.286438745285	0.551488715319	0.448511284681	There's even a laugh-out-loud line from the young sex-slave after finishing an act on one of the bosses: "Thank you, Mr.
17515	0	0.704537274788	0.295462725212	0.75603930523	0.24396069477	I did watch all of the film through to the disgraceful ending even though I felt so angry at what I saw.
19918	1	0.451904861556	0.548095138444	0.322688235933	0.677311764067	It's just as good a Super Mario World or so.
12280	1	0.253327722165	0.746672277835	0.110051589714	0.889948410286	Mitchum is his usual excellent self here in Man With The Gun - not one of his very best performances, Mitchum still has his classic and effective tough-guy screen presence in high gear and he knocks the action-packed, meaningful, and shocking scenes of the film right out of the park.
5016	1	0.470629869756	0.529370130244	0.40777503187	0.59222496813	you will probably even like it if you like watching people fight with magical stuff.
19045	0	0.757228143625	0.242771856375	0.932308819442	0.0676911805576	He used to beat up poor Juhi for no good reason!
15706	1	0.370287404963	0.629712595037	0.334584513298	0.665415486702	Freddy Krueger the dream stalker from elm street returns,the great character actor Robert englund is back in this sequel of nightmare 5, dream child.i hope i got the number correctly.there's been so many,and this one is one of the best,especially for the cameos by;Rosanne Barr (then Arnold)tom Arnold,johnny depp,(who did the very first nightmare in 84)alice cooper(singer)you will see Freddy as a tormented child,a teenager who loves pain,and as a family guy(creepy)the effects are very funny and creative,the cast also includes Lisa Zane(Billy's sister) breckin Meyer(road trip)yaphet kotto(alien,live and let die)and Amanda Donahue(father knows best)i was one of the people 3who saw this in 3d,well the ending.i love 3d movies.i missed the first 3d wave in 1953(i wasn't even born yet)the second wave was in 1983.i like all the Freddy movies.this one stands out as one of the better ones not counting the first which was absolutely brilliant,Freddy became the new monster of the 80s and 90s,along with Jason voorhees,chucky,Micheal myers,and leather face.can you imagine a film with all of them?i recommend this to all Freddy fans and horror fans alike.that Freddy is such a cut up.8 out of 10.
24968	1	0.29852849558	0.70147150442	0.123779470309	0.876220529691	Whether or not he does it will be at a terrible price, and the great irony of the film is that the ultimate form of an 'escape' may not be one a man might imagine.<br /><br />With all its budget limitations it is greatly to the first-time feature director Eric Vallette's credit that his film succeeds as well as it does.
13495	0	0.698558710337	0.301441289663	0.691013613767	0.308986386233	The heroine is actually shaved in the pubic area in order to make her look even younger than she is.
9682	0	0.670909911865	0.329090088135	0.898364813797	0.101635186203	If I can save just one person from watching this, then my existence on this earth will have been justified.
